insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,418.02,1.34,79,0,0,101.07,519.18,0,131.39,1250,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,3,90,0.64,79,0,0,79.79,1288,0,159.57,1696.99,1,1,1
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,3,25000,1000,1000,2,25,0.64,79,0,0,66.49,1288,0,132.98,1592.1,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,155.82,1.1,79,0,0,108.83,796.41,0,108.83,1250,1,1,1
Ontario,6021,B&P Services,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,306.58,2.77,79,0,0,214.14,340.82,92.55,214.14,1250,1,1,1
Ontario,5814,Hospitality,100000,1,2000000,1000,0,0,3,25000,1000,1000,4,75.03,1.29,79,0,15.38,145.13,745.51,0,188.66,1250,1,1,1
Ontario,6021,B&P Services,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,306.6,1.03,79,0,1.68,214.15,340.84,92.56,214.15,1250,1,1,1
Ontario,5693,Retail,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,395.13,0.37,79,0,0,124.19,527.11,0,124.19,1250,1,1,1
Ontario,5811,Hospitality,300000,2,2000000,1000,0,0,3,25000,1000,1000,5,90,0.64,79,0,0,249.33,1932,0,747.99,3098.96,1,1,1
Ontario,5811,Hospitality,1000000,6,2000000,1000,0,0,3,25000,1000,1000,4,200,0.64,79,0,0,79.79,6440,0,797.86,7597.28,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,516.14,2.1,79,0,0,162.23,258.2,70.11,162.23,1250,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,516.14,2.1,79,0,0,162.23,258.2,70.11,162.23,1250,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,516.14,2.1,79,0,0,162.23,258.2,70.11,162.23,1250,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,516.14,2.1,79,0,0,162.23,258.2,70.11,162.23,1250,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,1288,0,132.98,1657.1,1,1,1
Ontario,7297,B&P Services,123333,6,2000000,1000,0,0,3,25000,1000,1000,4,469.04,1.01,79,0,0,147.42,289.38,82.32,181.82,1250,1,1,1
Ontario,5232,Wholesale,50000,6,2000000,1000,0,0,3,25000,1000,1000,4,613.56,2.02,79,0,40.34,192.85,178.6,69.46,74.17,1250,1,1,1
Ontario,5811,Hospitality,400000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,2576,0,265.95,3078.08,1,1,1
Ontario,5811,Hospitality,400000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,2576,0,265.95,3078.08,1,1,1
Ontario,5811,Hospitality,400000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,2576,0,265.95,3078.08,1,1,1
Ontario,737,B&P Services,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,297.7,2.39,79,0,0,207.93,330.94,124.1,207.93,1250,1,1,1
Ontario,5811,Hospitality,400000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,2576,0,265.95,3078.08,1,1,1
Ontario,737,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,495.22,1.64,79,0,22.21,155.65,247.73,92.9,155.65,1250,1,1,1
Ontario,5811,Hospitality,2000000,2,2000000,1000,0,0,4,25000,1000,1000,4,86.4,0.23,79,0,0,76.59,12558,0,1555.83,14356.06,0.975,0.975,0.96
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,4,25000,1000,1000,4,25,0.23,79,0,0,79.79,1288,0,159.57,1631.59,1,1,1
Ontario,5694,Retail,300000,1,2000000,1000,0,0,3,25000,1000,1000,4,25,0.29,79,0,0,79.79,1380,0,239.36,1803.43,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,1.15,79,0,13.65,79.79,1288,0,159.57,1711.16,1,1,1
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,6,25000,1000,1000,5,25,0.72,79,0,1.28,311.66,1288,0,623.33,2329,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,6,90,1.85,79,0,12.81,249.33,1288,0,498.66,2219.66,1,1,1
Ontario,737,B&P Services,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,190.11,1.36,79,0,0,132.78,422.68,158.5,265.57,1250,1,1,1
Ontario,737,B&P Services,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,190.14,1.15,79,0,0,132.81,422.75,158.53,265.62,1250,1,1,1
Ontario,737,B&P Services,200000,1,2000000,1000,0,0,3,25000,1000,1000,5,32.88,1.08,79,0,0,258.38,263.19,98.7,516.77,1250,1,1,1
Ontario,5994,Retail,500000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,1.08,79,0,0,48.36,1610,0,241.78,2070.21,1,1,1
Alberta,6411,B&P Services,200000,1,2000000,1000,0,0,3,25000,1000,1000,5,43.78,0.13,79,0,0,344.03,253.77,0,529.28,1250,1,1,1
Québec,8016,Health Serv.,300000,2,2000000,1000,0,0,1,25000,1000,1000,4,100.59,2.14,79,0,2.99,70.26,832.89,0,162.14,1250,1,1,1
Newfoundland and Labrador,5811,Hospitality,200000,1,2000000,1000,0,0,2,25000,1000,1000,4,25,0.08,79,0,0,79.79,1288,0,159.57,1631.44,1,1,1
Manitoba,5811,Hospitality,300000,1,2000000,1000,0,0,2,25000,1000,1000,2,25,0.04,79,0,0,66.49,1932,0,199.47,2301.99,1,1,1
Ontario,5932,Retail,300000,16,2000000,1000,0,0,3,25000,1000,1000,4,450,0.43,79,0,0,62.86,966,0,188.59,1746.87,1,1,1
Ontario,5694,Retail,300000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,1.15,79,0,1.54,79.79,1380,0,239.36,1870.83,1,1,1
Ontario,5811,Hospitality,300000,1,2000000,1000,0,0,3,25000,1000,1000,4,25,0.64,79,0,0,79.79,1932,0,239.36,2355.78,1,1,1
New Brunswick,6411,B&P Services,300000,2,2000000,1000,0,0,2,25000,1000,1000,4,204.27,1.35,79,0,0.14,142.68,493.32,0,329.25,1250,1,1,1
Ontario,5422,Retail,300000,2,2000000,1000,0,0,4,25000,1000,1000,4,93.45,0.44,79,0,0,50.21,831.09,0,195.82,1250,1,1,1
Ontario,5422,Retail,234232,11,5000000,1000,0,0,3,250000,1000,1000,4,325,2.7,210,0,0,331.2,760.79,0,100.85,1730.53,1,1,1
Ontario,5422,Retail,78439,16,2000000,1000,0,0,3,25000,1000,1000,4,695.91,0.42,79,0,0,74.78,323.64,0,76.25,1250,1,1,1
Ontario,5422,Retail,132112,11,2000000,1000,0,0,3,25000,1000,1000,5,349.67,0.29,79,0,0,162.58,379.23,0,279.23,1250,1,1,1
Ontario,5422,Retail,123123,11,2000000,1000,0,0,3,25000,1000,1000,4,488.22,0.4,79,0,0,72.64,493.47,0,116.27,1250,1,1,1
Ontario,5813,Hospitality,234323,11,2000000,1000,0,0,3,25000,1000,1000,4,325,0.65,79,0,0,62.86,1077.89,0,147.3,1692.7,1,1,1
Ontario,5422,Retail,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,131.68,1.68,79,0,2.25,70.75,780.7,0,183.94,1250,1,1,1
Québec,5431,Retail,500000,2,1000000,1000,0,0,4,500000,1000,1000,4,90,41.08,326,0,0,563.04,1400,0,140.76,2560.88,1,1,1
